"Accession"	"Species"	"Length"	"Sequence_Type"	"Host"	"Collection_Date"	"Country.1"	"Country.2"
"1476"	"MN234013"	"Rabies lyssavirus"	11927	"GenBank"	"Vulpes lagopus"	"1995"	Canada	 Ontario
"1477"	"MN234014"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"2000"	Canada	 Ontario
"1478"	"MN234015"	"Rabies lyssavirus"	11926	"GenBank"	"Canis lupus familiaris"	"2013"	Canada	 Ontario
"1479"	"MK540800"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2015"	Canada	 Ontario
"1480"	"MK540801"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2015"	Canada	 Ontario
"1481"	"MK540802"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2015"	Canada	 Ontario
"1482"	"MK540803"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2015"	Canada	 Ontario
"1483"	"MK540804"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2015"	Canada	 Ontario
"1484"	"MK540805"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1485"	"MK540806"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1486"	"MK540807"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1487"	"MK540808"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1488"	"MK540809"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1489"	"MK540810"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1490"	"MK540811"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1491"	"MK540812"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2016"	Canada	 Ontario
"1492"	"MK540813"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1493"	"MK540814"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2016"	Canada	 Ontario
"1494"	"MK540815"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1495"	"MK540816"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2016"	Canada	 Ontario
"1496"	"MK540817"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2016"	Canada	 Ontario
"1497"	"MK540818"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1498"	"MK540819"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2016"	Canada	 Ontario
"1499"	"MK540820"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1500"	"MK540821"	"Rabies lyssavirus"	11922	"GenBank"	"Mephitidae"	"2016"	Canada	 Ontario
"1501"	"MK540822"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2016"	Canada	 Ontario
"1502"	"MK540823"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1503"	"MK540824"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2016"	Canada	 Ontario
"1504"	"MK540825"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1505"	"MK540826"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1506"	"MK540827"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1507"	"MK540828"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1508"	"MK540829"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1509"	"MK540830"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1510"	"MK540831"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1511"	"MK540832"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1512"	"MK540833"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2016"	Canada	 Ontario
"1513"	"MK540834"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1514"	"MK540835"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2016"	Canada	 Ontario
"1515"	"MK540836"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2016"	Canada	 Ontario
"1516"	"MK540837"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1517"	"MK540838"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1518"	"MK540839"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1519"	"MK540840"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1520"	"MK540841"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2016"	Canada	 Ontario
"1521"	"MK540842"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1522"	"MK540843"	"Rabies lyssavirus"	11923	"GenBank"	"Vulpes vulpes"	"2016"	Canada	 Ontario
"1523"	"MK540844"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1524"	"MK540845"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2016"	Canada	 Ontario
"1525"	"MK540846"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1526"	"MK540847"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1527"	"MK540848"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1528"	"MK540849"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2016"	Canada	 Ontario
"1529"	"MK540850"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1530"	"MK540851"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1531"	"MK540852"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1532"	"MK540853"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1533"	"MK540854"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1534"	"MK540855"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1535"	"MK540856"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1536"	"MK540857"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1537"	"MK540858"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2016"	Canada	 Ontario
"1538"	"MK540859"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1539"	"MK540860"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1540"	"MK540861"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2016"	Canada	 Ontario
"1541"	"MK540862"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2016"	Canada	 Ontario
"1542"	"MK540863"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2016"	Canada	 Ontario
"1543"	"MK540864"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1544"	"MK540865"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1545"	"MK540866"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2016"	Canada	 Ontario
"1546"	"MK540867"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2016"	Canada	 Ontario
"1547"	"MK540868"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1548"	"MK540869"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2016"	Canada	 Ontario
"1549"	"MK540870"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2016"	Canada	 Ontario
"1550"	"MK540871"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2016"	Canada	 Ontario
"1551"	"MK540872"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2017"	Canada	 Ontario
"1552"	"MK540873"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2017"	Canada	 Ontario
"1553"	"MK540874"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2017"	Canada	 Ontario
"1554"	"MK540875"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2017"	Canada	 Ontario
"1555"	"MK540876"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2017"	Canada	 Ontario
"1556"	"MK540877"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2017"	Canada	 Ontario
"1557"	"MK540878"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2017"	Canada	 Ontario
"1558"	"MK540879"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2017"	Canada	 Ontario
"1559"	"MK540880"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2017"	Canada	 Ontario
"1560"	"MK540881"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2017"	Canada	 Ontario
"1561"	"MK540882"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2017"	Canada	 Ontario
"1562"	"MK540887"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitidae"	"1990"	Canada	 Ontario
"1563"	"MK540888"	"Rabies lyssavirus"	11925	"GenBank"	"Vulpes vulpes"	"1990"	Canada	 Ontario
"1564"	"MK540889"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"1990"	Canada	 Ontario
"1565"	"MK540890"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"1990"	Canada	 Ontario
"1566"	"MK540891"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"1990"	Canada	 Ontario
"1567"	"MK540892"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"1990"	Canada	 Ontario
"1568"	"MK540893"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"1991"	Canada	 Ontario
"1569"	"MK540894"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitidae"	"1991"	Canada	 Ontario
"1570"	"MK540895"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"1991"	Canada	 Ontario
"1571"	"MK540896"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"1991"	Canada	 Ontario
"1572"	"MK540897"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitidae"	"1991"	Canada	 Ontario
"1573"	"MK540898"	"Rabies lyssavirus"	11925	"GenBank"	"Vulpes vulpes"	"1991"	Canada	 Ontario
"1574"	"MK540899"	"Rabies lyssavirus"	11925	"GenBank"	"Vulpes vulpes"	"1991"	Canada	 Ontario
"1575"	"MK540900"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"1991"	Canada	 Ontario
"1576"	"MK540901"	"Rabies lyssavirus"	11925	"GenBank"	"Vulpes vulpes"	"1991"	Canada	 Ontario
"1577"	"MK540902"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"1993"	Canada	 Ontario
"1578"	"MK540903"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"1993"	Canada	 Ontario
"1579"	"MK540904"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"1993"	Canada	 Ontario
"1580"	"MK540905"	"Rabies lyssavirus"	11925	"GenBank"	"Vulpes vulpes"	"1993"	Canada	 Ontario
"1581"	"MK540906"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"1995"	Canada	 Ontario
"1582"	"MK540907"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitidae"	"1995"	Canada	 Ontario
"1583"	"MK540908"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"1995"	Canada	 Ontario
"1584"	"MK540909"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"1995"	Canada	 Ontario
"1585"	"MK540910"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"1995"	Canada	 Ontario
"1586"	"MK540911"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"1995"	Canada	 Ontario
"1587"	"MK540912"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"1995"	Canada	 Ontario
"1588"	"MK540913"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"1996"	Canada	 Ontario
"1589"	"MK540914"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"1996"	Canada	 Ontario
"1590"	"MK540915"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"1996"	Canada	 Ontario
"1591"	"MK540916"	"Rabies lyssavirus"	11925	"GenBank"	"Vulpes vulpes"	"1996"	Canada	 Ontario
"1592"	"MK540917"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"1996"	Canada	 Ontario
"1593"	"MK540918"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"1996"	Canada	 Ontario
"1594"	"MK540919"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"1996"	Canada	 Ontario
"1595"	"MK540920"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitidae"	"1997"	Canada	 Ontario
"1596"	"MK540921"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitidae"	"1998"	Canada	 Ontario
"1597"	"MK540922"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"1998"	Canada	 Ontario
"1598"	"MK540923"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"1998"	Canada	 Ontario
"1599"	"MK540924"	"Rabies lyssavirus"	11927	"GenBank"	"Mephitidae"	"1998"	Canada	 Ontario
"1600"	"MK540925"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"1998"	Canada	 Ontario
"1601"	"MK540926"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitidae"	"1998"	Canada	 Ontario
"1602"	"MK540927"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"1999"	Canada	 Ontario
"1603"	"MK540928"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitidae"	"1999"	Canada	 Ontario
"1604"	"MK540929"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"1999"	Canada	 Ontario
"1605"	"MK540930"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"1999"	Canada	 Ontario
"1606"	"MK540931"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"1999"	Canada	 Ontario
"1607"	"MK540932"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"1999"	Canada	 Ontario
"1608"	"MK540933"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"1999"	Canada	 Ontario
"1609"	"MK540934"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"1999"	Canada	 Ontario
"1610"	"MK540935"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"1999"	Canada	 Ontario
"1611"	"MK540936"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2000"	Canada	 Ontario
"1612"	"MK540937"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2000"	Canada	 Ontario
"1613"	"MK540938"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2000"	Canada	 Ontario
"1614"	"MK540939"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2000"	Canada	 Ontario
"1615"	"MK540940"	"Rabies lyssavirus"	11928	"GenBank"	"Mephitidae"	"2000"	Canada	 Ontario
"1616"	"MK540941"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2000"	Canada	 Ontario
"1617"	"MK540942"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2000"	Canada	 Ontario
"1618"	"MK540943"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"2000"	Canada	 Ontario
"1619"	"MK540944"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2000"	Canada	 Ontario
"1620"	"MK540945"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2000"	Canada	 Ontario
"1621"	"MK540946"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2001"	Canada	 Ontario
"1622"	"MK540947"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2001"	Canada	 Ontario
"1623"	"MK540948"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2001"	Canada	 Ontario
"1624"	"MK540949"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2001"	Canada	 Ontario
"1625"	"MK540950"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitidae"	"2001"	Canada	 Ontario
"1626"	"MK540951"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2001"	Canada	 Ontario
"1627"	"MK540952"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2001"	Canada	 Ontario
"1628"	"MK540953"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2001"	Canada	 Ontario
"1629"	"MK540954"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitidae"	"2001"	Canada	 Ontario
"1630"	"MK540955"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2001"	Canada	 Ontario
"1631"	"MK540956"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitidae"	"2002"	Canada	 Ontario
"1632"	"MK540957"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2002"	Canada	 Ontario
"1633"	"MK540958"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2002"	Canada	 Ontario
"1634"	"MK540959"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2002"	Canada	 Ontario
"1635"	"MK540960"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2003"	Canada	 Ontario
"1636"	"MK540961"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2003"	Canada	 Ontario
"1637"	"MK540962"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"2003"	Canada	 Ontario
"1638"	"MK540963"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"2003"	Canada	 Ontario
"1639"	"MK540964"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2004"	Canada	 Ontario
"1640"	"MK540965"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitidae"	"2004"	Canada	 Ontario
"1641"	"MK540966"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitidae"	"2004"	Canada	 Ontario
"1642"	"MK540967"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"2005"	Canada	 Ontario
"1643"	"MK540968"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitidae"	"2005"	Canada	 Ontario
"1644"	"MK540969"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"2005"	Canada	 Ontario
"1645"	"MK540970"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2005"	Canada	 Ontario
"1646"	"MK540971"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2006"	Canada	 Ontario
"1647"	"MK540972"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitidae"	"2006"	Canada	 Ontario
"1648"	"MK540973"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"2006"	Canada	 Ontario
"1649"	"MK540974"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2006"	Canada	 Ontario
"1650"	"MK540975"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2006"	Canada	 Ontario
"1651"	"MK540976"	"Rabies lyssavirus"	11928	"GenBank"	"Mephitidae"	"2006"	Canada	 Ontario
"1652"	"MK540977"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2006"	Canada	 Ontario
"1653"	"MK540978"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2007"	Canada	 Ontario
"1654"	"MK540979"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2007"	Canada	 Ontario
"1655"	"MK540980"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2007"	Canada	 Ontario
"1656"	"MK540981"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2008"	Canada	 Ontario
"1657"	"MK540982"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2008"	Canada	 Ontario
"1658"	"MK540983"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2008"	Canada	 Ontario
"1659"	"MK540984"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2008"	Canada	 Ontario
"1660"	"MK540985"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"2008"	Canada	 Ontario
"1661"	"MK540986"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitidae"	"2008"	Canada	 Ontario
"1662"	"MK540987"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"2009"	Canada	 Ontario
"1663"	"MK540988"	"Rabies lyssavirus"	11926	"GenBank"	"Bos taurus"	"2009"	Canada	 Ontario
"1664"	"MK540989"	"Rabies lyssavirus"	11927	"GenBank"	"Bos taurus"	"2009"	Canada	 Ontario
"1665"	"MK540990"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2009"	Canada	 Ontario
"1666"	"MK540991"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"2009"	Canada	 Ontario
"1667"	"MK540992"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitidae"	"2009"	Canada	 Ontario
"1668"	"MK540993"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2010"	Canada	 Ontario
"1669"	"MK540994"	"Rabies lyssavirus"	11926	"GenBank"	"Bos taurus"	"2011"	Canada	 Ontario
"1670"	"MK540995"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2011"	Canada	 Ontario
"1671"	"MK540996"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2012"	Canada	 Ontario
"1672"	"MK540997"	"Rabies lyssavirus"	11926	"GenBank"	"Felis catus"	"2012"	Canada	 Ontario
"1673"	"MK540998"	"Rabies lyssavirus"	11926	"GenBank"	"Bos taurus"	"2015"	Canada	 Ontario
"1674"	"MK540999"	"Rabies lyssavirus"	11926	"GenBank"	"Bos taurus"	"2016"	Canada	 Ontario
"1675"	"MK541000"	"Rabies lyssavirus"	11926	"GenBank"	"Bos taurus"	"2017"	Canada	 Ontario
"1676"	"MK541001"	"Rabies lyssavirus"	11926	"GenBank"	"Bos taurus"	"2017"	Canada	 Ontario
"1677"	"MK541002"	"Rabies lyssavirus"	11926	"GenBank"	"Bos taurus"	"2017"	Canada	 Ontario
"1678"	"MK541003"	"Rabies lyssavirus"	11926	"GenBank"	"Bos taurus"	"2017"	Canada	 Ontario
"1679"	"MK541004"	"Rabies lyssavirus"	11927	"GenBank"	"Vulpes vulpes"	"2017"	Canada	 Ontario
"1680"	"MK541005"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2017"	Canada	 Ontario
"1681"	"MK541006"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2017"	Canada	 Ontario
"1682"	"MK541007"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2017"	Canada	 Ontario
"1683"	"MK541008"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2017"	Canada	 Ontario
"1684"	"MK541009"	"Rabies lyssavirus"	11927	"GenBank"	"Mephitidae"	"2018"	Canada	 Ontario
"1685"	"MK541010"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2018"	Canada	 Ontario
"1686"	"MK541011"	"Rabies lyssavirus"	11926	"GenBank"	"Mephitidae"	"2018"	Canada	 Ontario
"1687"	"MK541012"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"2000"	Canada	 Ontario
"1688"	"MF143236"	"Rabies lyssavirus"	11939	"GenBank"	"Procyon lotor"	"2015"	Canada	 Oak Bay, Charlotte, NB
"1689"	"MN233974"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"1999"	Canada	 Nunavut
"1690"	"MN233975"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"1999"	Canada	 Nunavut
"1691"	"MN233976"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"2002"	Canada	 Nunavut
"1692"	"MN233977"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"2002"	Canada	 Nunavut
"1693"	"MN233978"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"2004"	Canada	 Nunavut
"1694"	"MN233979"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"2005"	Canada	 Nunavut
"1695"	"MN233980"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"2005"	Canada	 Nunavut
"1696"	"MN233981"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"2005"	Canada	 Nunavut
"1697"	"MN233982"	"Rabies lyssavirus"	11927	"GenBank"	"Vulpes lagopus"	"2006"	Canada	 Nunavut
"1698"	"MN233983"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"2006"	Canada	 Nunavut
"1699"	"MN233984"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"2006"	Canada	 Nunavut
"1700"	"MN233985"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"2007"	Canada	 Nunavut
"1701"	"MN233986"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"2007"	Canada	 Nunavut
"1702"	"MN233987"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"2007"	Canada	 Nunavut
"1703"	"MN233988"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"2008"	Canada	 Nunavut
"1704"	"MN233989"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes vulpes"	"2008"	Canada	 Nunavut
"1705"	"MN233990"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"2012"	Canada	 Nunavut
"1706"	"MN233991"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"2012"	Canada	 Nunavut
"1707"	"MN233992"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"2012"	Canada	 Nunavut
